#TYPE Selected.Microsoft.DnsClient.Commands.DnsRecord_A
"Name","IP_1","IP_2","IP_3","IP_4","IP_5","IP_6","IP_7","IP_8","IP_9","IP_10"
"trobysmaytag.com","52.2.161.18","54.175.34.93","","","","","","","",""
"tradersltd.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"turneyanddunhamappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"txappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"tvandappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"tuscolahomecenter.com","15.197.221.21","3.33.228.28","","","","","","","",""
"wahlsappliance.biz","52.2.161.18","54.175.34.93","","","","","","","",""
"wabashappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"vothsbrandsource.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"walkerfurniture.com","52.2.161.18","54.175.34.93","","","","","","","",""
"watsonsonline.com","52.2.161.18","54.175.34.93","","","","","","","",""
"wardells.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"walkerhomecenter.com","52.2.161.18","54.175.34.93","","","","","","","",""
"videotechmaytag.com","52.2.161.18","54.175.34.93","","","","","","","",""
"vernsfurniture.com","52.2.161.18","54.175.34.93","","","","","","","",""
"vanshomecenter.com","52.2.161.18","54.175.34.93","","","","","","","",""
"villagehomestores.com","52.2.161.18","54.175.34.93","","","","","","","",""
"volkmannappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"vintonappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"vincestvandappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"recommendedappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"reckerandboergerhomeappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"rcsappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"redbanksleepshoppe.com","52.2.161.18","54.175.34.93","","","","","","","",""
"reecesmaytag.com","52.2.161.18","54.175.34.93","","","","","","","",""
"reddersshowkase.com","52.2.161.18","54.175.34.93","","","","","","","",""
